z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
0;-3,885780586188048e-16;0,0;2453,377188297273;0,0;2453,377188297273;326688,594148636
1;3,621274025089605e-08;1,4466920862044041e-05;2453,3771882972724;0,05747996996907338;2453,3197083273035;324235,24573643086
2;1,4448745638828697e-07;2,8824790615500362e-05;2453,377188297273;0,11452665807350604;2453,2626616391995;321781,95458755415
3;3,2427889878894334e-07;4,3073611796340394e-05;2453,3771882972724;0,17114007438921966;2453,206048222883;319328,7202687286
4;5,750418308747562e-07;5,721338692110667e-05;2453,3771882972724;0,227320228914941;2453,1498680683576;316875,54234668775
5;8,962310286686481e-07;7,124411848680179e-05;2453,3771882972724;0,2830671315717609;2453,0941211657005;314422,42038817465
6;1,2873012806835504e-06;8,516580897155457e-05;2453,3771882972724;0,3383807922057806;2453,0388075050664;311969,3539599424
7;1,7477073873672921e-06;9,897846083417594e-05;2453,3771882972724;0,3932612205863479;2452,983927076686;309516,3426287538
8;2,276904161990778e-06;0,00011268207651382589;2453,377188297272;0,4477084264047331;2452,929479870867;307063,3859613814
9;2,8743464295932775e-06;0,00012627665843101266;2453,3771882972715;0,5017224192780995;2452,8754658779935;304610,4835246077
10;3,5394890274265123e-06;0,00013976220898670455;2453,3771882972733;0,5553032087459745;2452,8218850885273;302157,63488522434
11;4,271786804510569e-06;0,00015313873056221894;2453,3771882972724;0,6084508042698082;2452,7687374930024;299704,8396100327
12;5,070694621966965e-06;0,00016640622552033246;2453,377188297273;0,661165215237385;2452,7160230820355;297252,0972658434
13;5,93566735263007e-06;0,00017956469620394877;2453,377188297273;0,7134464509575292;2452,663741846315;294799,4074194769
14;6,866159880825062e-06;0,00019261414493731976;2453,3771882972724;0,765294520664959;2452,6118937766073;292346,7696377622
15;7,861627102589974e-06;0,00020555457402482435;2453,3771882972724;0,8167094335154321;2452,560478863757;289894,183487538
16;8,921523925398134e-06;0,0002183859857521897;2453,377188297273;0,8676911985906002;2452,509497098682;287441,6485356521
17;1,0045305268213678e-05;0,00023110838238515896;2453,377188297272;0,9182398248927136;2452,4589484723792;284989,164348961
18;1,1232426061213996e-05;0,00024372176617093455;2453,377188297272;0,9683553213503572;2452,4088329759215;282536,73049433075
19;1,2482341245623196e-05;0,00025622613933717897;2453,3771882972724;1,0180376968144795;2452,3591506004577;280084,3465386356
20;1,3794505773934151e-05;0,0002686215040921258;2453,3771882972724;1,0672869600588344;2452,3099013372134;277632,0120487591
21;1,5168374609519919e-05;0,0002809078626251349;2453,3771882972724;1,1161031197821858;2452,2610851774903;275179,7265915933
22;1,6603402726689254e-05;0,00029308521710591506;2453,3771882972724;1,1644861846052217;2452,212702112667;272727,48973403906
23;1,8099045110742118e-05;0,00030515356968507934;2453,3771882972724;1,2124361630727574;2452,1647521341997;270275,30104300583
24;1,9654756757192526e-05;0,00031711292249436696;2453,377188297273;1,2599530636546188;2452,1172352336184;267823,1600854114
25;2,1269992672878768e-05;0,0003289632776454221;2453,3771882972724;1,307036894740791;2452,070151402532;265371,06642818206
26;2,2944207874464606e-05;0,0003407046372316813;2453,3771882972733;1,3536876646489162;2452,0235006326243;262919,0196382526
27;2,4676857389327456e-05;0,0003523370033263751;2453,377188297273;1,3999053816163536;2451,9772829156564;260467,01928256583
28;2,646739625533634e-05;0,0003638603779839711;2453,3771882972724;1,4456900538059139;2451,9314982434666;258015,06492807303
