z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
0;6,505213034913027e-19;2,168404344971009e-19;1861,397561875924;2,7478019859472624e-13;1861,3975618759239;104381,39171993539
1;1,4640208191390135e-07;1,4596654610909282e-05;1861,3975618759237;18,496880722944244;1842,9006811529794;102529,27019396948
2;5,821326938726563e-07;2,893328408748886e-05;1861,397561875924;36,66425759566588;1824,7333042802582;100695,48052366727
3;1,3020170436571846e-06;4,301245176625487e-05;1861,3975618759239;54,50537887819817;1806,8921829977257;98879,69483419372
4;2,3009311446886994e-06;5,6836674950503036e-05;1861,3975618759243;72,02343449727745;1789,3741273786468;97081,58846975912
5;3,573800899879607e-06;7,040842536039263e-05;1861,397561875924;89,22155661668954;1772,1760052592347;95300,8399355721
6;5,115601194403052e-06;8,373012957488182e-05;1861,397561875924;106,10282019729024;1755,294741678634;93537,13084035719
7;6,9213549972228176e-06;9,680416946558981e-05;1861,397561875924;122,6702435467954;1738,7273183291288;91790,14583942793
8;8,986132471216612e-06;0,00010963288262266844;1861,3975618759239;138,92678885944545;1722,4707730164785;90059,57257830421
9;1,1305050091739433e-05;0,00012221856277275255;1861,397561875924;154,87536274563203;1706,5221991302922;88345,10163686464
10;1,3873269773468071e-05;0,00013456346018907162;1861,397561875924;170,51881675159154;1690,8787451243327;86646,42647402306
11;1,6685998005370626e-05;0,00014666978209378913;1861,397561875924;185,8599478692496;1675,5376140066744;84963,24337292048
12;1,9738484993640348e-05;0,0001585396930526479;1861,397561875924;200,90149903631539;1660,4960628396086;83295,25138662131
13;2,302602381245504e-05;0,00017017531536198246;1861,397561875924;215,64615962670416;1645,7514022492198;81642,15228430548
14;2,6543949562391356e-05;0,00018157872942818187;1861,397561875924;230,09656593139206;1631,3009959445321;80003,65049794555
15;3,0287638536362392e-05;0,00019275197413965665;1861,397561875924;244,2553016297729;1617,1422602461512;78379,4530694604
16;3,425250739291178e-05;0,0002036970472313849;1861,397561875924;258,12489825161094;1603,2726636243133;76769,26959833546
17;3,843401233673228e-05;0,00021441590564209964;1861,3975618759239;271,70783562966864;1589,6897262462553;75172,81218970001
18;4,2827648306249886e-05;0,00022491046586418386;1861,3975618759237;285,00654234309377;1576,39101953283;73589,7954028527
19;4,742894816813707e-05;0,0002351826042863289;1861,3975618759239;298,02339615163595;1563,3741657242879;72019,93620022596
20;5,223348191860447e-05;0,00024523415752902996;1861,3975618759246;310,76072442078674;1550,6368374551378;70462,95389677964
21;5,723685589133264e-05;0,0002550669227729637;1861,3975618759234;323,2208045378996;1538,176757338024;68918,5701098158
22;6,243471197190211e-05;0,0002646826580803203;1861,3975618759243;335,40586431938186;1525,9916975565425;67386,50870920473
23;6,78227268185764e-05;0,0002740830827091354;1861,397561875924;347,31808240901637;1514,0794794669077;65866,4957680141
24;7,339661108930664e-05;0,00028326987742069;1861,397561875924;358,95958866749834;1502,4379732084258;64358,25951353165
25;7,915210867481164e-05;0,0002922446847800225;1861,3975618759243;370,3324645532445;1491,0650973226798;62861,530278673315
26;8,508499593760151e-05;0,0003010091094496144;1861,3975618759246;381,4387434945514;1479,9588183813732;61376,04045376777
27;9,119108095680681e-05;0,00030956471847629736;1861,397561875924;392,280411253164;1469,1171506227602;59901,5244387087
28;9,746620277867931e-05;0,0003179130415714359;1861,3975618759239;402,8594062793236;1458,5381555966003;58437,71859546659
29;0,0001039062306726268;0,0003260555713844339;1861,3975618759239;413,17762005835465;1448,2199418175692;56984,36120095121
30;0,0001105070633926565;0,0003339937637696145;1861,397561875924;423,2368974488555;1438,1606644270687;55541,19240021634
31;0,00011726462844408514;0,0003417290380465215;1861,3975618759243;433,039037012552;1428,3585248633724;54107,95415999895
32;0,00012417488135539308;0,0003492627772536893;1861,397561875924;442,58579133587506;1418,811770540049;52684,39022258349
33;0,0001312338049550871;0,0003565963283959242;1861,397561875924;451,87886734331516;1409,518694532609;51270,24605998416
34;0,000138437408653445;0,0003637310026851448;1861,3975618759243;460,91992660261553;1400,4776352733088;49865,268828436216
35;0,00014578172772901376;0,00037066807577482044;1861,397561875924;469,71058562185243;1391,6869762540716;48469,20732318831
36;0,00015326282261972964;0,0003774087879880549;1861,3975618759239;478,25241613846316;1383,1451457374608;47081,81193358816
37;0,0001608767782185431;0,000383954344539351;1861,3975618759239;486,54694540026554;1374,8506164756584;45702,83459845304
38;0,00016861970317340758;0,00039030591575009714;1861,3975618759239;494,59565643852306;1366,8019054374008;44332,02876171732
39;0,0001764877291915224;0,000396464637257819;1861,3975618759237;502,39998833310824;1358,9975735428154;42969,14932834918
40;0,00018447701034769704;0,00040243161021922603;1861,397561875924;509,9613364698032;1351,436225406121;41613,95262052845
41;0,0001925837223967109;0,0004082079015070934;1861,397561875924;517,2810527897888;1344,1165090861355;40266,19633407807
42;0,0002008040620895559;0,000413794543901017;1861,3975618759246;524,3604460313687;1337,037115844556;38925,6394951408
43;0,0002091342464934276;0,0004191925362720674;1861,397561875924;531,2007819639638;1330,1967799119602;37592,04241709419
44;0,00021757051231535078;0,0004244028437613886;1861,3975618759239;537,8032836144316;1323,5942782614923;36265,1666576953
45;0,0002261091152293167;0,0004294263979527579;1861,3975618759246;544,1691314857347;1317,2284303901897;34944,77497644829
46;0,00023474632920681185;0,00043426409703915185;1861,397561875924;550,2994637680132;1311,0980981079108;33630,63129218645
47;0,00024347844585061824;0,00043891680598333815;1861,397561875924;556,1953765420861;1305,2021853338379;32322,500640862112
48;0,0002523017737317628;0,00044338535667253084;1861,3975618759239;561,857923975431;1299,5396379004928;31020,149133535488
49;0,00026121263772950747;0,0004476705480671245;1861,3975618759246;567,2881185106602;1294,1094433652643;29723,34391455667
50;0,000270207378374248;0,00045177314634354886;1411,3975618759248;572,4869310465451;838,9106308293797;28431,853119931497
51;0,00027928256283532034;0,0004557256315360043;1411,397561875925;577,4955202824246;833,9020415935003;27595,45924550912
52;0,0002884356192411001;0,0004595604568390253;1411,397561875925;582,3550109064129;829,042550969512;26763,999337503392
53;0,0002976642012852836;0,00046327830790524353;1411,3975618759246;587,0662717775245;824,3312900984001;25937,324733946938
54;0,0003069659761652728;0,0004668798494727288;1411,397561875925;591,630145251842;819,7674166240829;25115,287628467122
55;0,00031633862416507915;0,00047036572548384036;1411,397561875925;596,0474473331225;815,3501145428025;24297,741043858932
56;0,00032577983824056664;0,00047373655920036266;1411,3975618759246;600,3189678186995;811,0785940572251;23484,538805805896
57;0,0003352873236069609;0,00047699295331494215;1411,397561875925;604,4454704406947;806,9520914352302;22675,535516744705
