z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
0;0,0;1,734723475976807e-18;94,91234364748172;1,8457457784393227e-14;94,9123436474817;5231,990570980341
1;6,19102759097552e-07;0,00012344653110386503;94,91234364748172;1,3134710909451237;93,59887255653659;5137,736952668538
2;2,461502046033695e-06;0,00024466447057560313;94,91234364748173;2,603229966924417;92,30911368055732;5044,784921862357
3;5,505065957678822e-06;0,00036368452760817196;94,9123436474817;3,86960337375095;91,04274027373076;4953,110930216864
4;9,72796689236409e-06;0,0004805368545859022;94,91234364748172;5,1129121327939995;89,79943151468773;4862,691753163888
5;1,510867602011294e-05;0,0005952510547232379;94,91234364748173;6,33347122225525;88,57887242522648;4773,504484028331
6;2,162595782854125e-05;0,0007078561895643952;94,91234364748173;7,531589856965166;87,38075379051656;4685,5265282250175
7;2,925886474309733e-05;0,000818380786345772;94,9123436474817;8,707571566719015;86,2047720807627;4598,735597534623
8;3,798673182021754e-05;0,0009268528452229894;94,91234364748173;9,861714273172607;85,05062937430912;4513,109704457198
9;4,7789171512105204e-05;0,0010332998463644261;94,9123436474817;10,994310365317494;83,91803328216422;4428,6271566418845
10;5,8646068501771835e-05;0,0011377487569130063;94,91234364748172;12,105646773554389;82,80669687392734;4345,266551391407
11;7,053757460705103e-05;0,0012402260378180097;94,9123436474817;13,196005042383621;81,71633860509809;4263,006770239943
12;8,34441037522839e-05;0,001340757650538673;94,91234364748169;14,265661401731482;80,64668224575021;4181,82697360299
13;9,734632700641229e-05;0,0014393690636212144;94,91234364748172;15,314886836929723;79,597456810552;4101,706595497901
14;0,00011222516768621179;0,0015360852591510057;94,91234364748173;16,343947157366703;78,56839649011503;4022,6253383337253
15;0,00012806179652342497;0,0016309307390815026;94,91234364748173;17,353103063827188;77,55924058365454;3944,5631677690385
16;0,00014483762689458755;0,0017239295314415426;94,91234364748172;18,342610214538013;76,5697334329437;3867,500307636474
17;0,0001625343101123106;0,0018151051964225649;94,91234364748172;19,31271928993609;75,59962435754564;3791,417234932649
18;0,00018113373077685221;0,001904480832347323;94,91234364748172;20,26367605617552;74,6486675913062;3716,2946748722406
19;0,0002006180021867851;0,001992079081521583;94,91234364748172;21,19572142738964;73,71662222009208;3642,1135960049273
20;0,00022096946180760312;0,002077922135970295;94,9123436474817;22,10909152672394;72,80325212075776;3568,855205393995
21;0,00024217066679711914;0,00216203174305969;94,9123436474817;23,004017746155103;71,9083259013266;3496,500943855359
22;0,0002642043895865155;0,002244429211006732;94,91234364748172;23,88072680511163;71,03161684237008;3425,032481255796
23;0,0002870536135159375;0,0023251354142773146;94,9123436474817;24,73944080791063;70,17290283957108;3354,4317118692184
24;0,0003107015285235158;0,00240417079887456;94,91234364748172;25,58037730002532;69,3319663474564;3284,680749789799
25;0,0003351315268867181;0,002481555387518604;94,91234364748172;26,403749323197943;68,50859432428378;3215,7619244007656
26;0,00036032719901498995;0,0025573087847190956;94,9123436474817;27,209765469411177;67,70257817807052;3147,6577758977646
27;0,00038627232929254896;0,002631450181741808;94,91234364748172;27,998629933732836;66,91371371374889;3080,3510508656054
28;0,0004129508919703583;0,0027039983614705037;94,9123436474817;28,77054256604616;66,14180108143555;3013,8246979073133
29;0,00044034704710617465;0,0027749717031653933;94,91234364748175;29,525698921679787;65,38664472580196;2948,0618633243403
30;0,0004684451365516845;0,002844388187119274;94,91234364748172;30,26429031094907;64,64805333653264;2883,045886846882
31;0,000497229679985685;0,002912265399212674;94,91234364748172;30,986503847622853;63,92583979985887;2818,760297413177
32;0,0005266853709923244;0,0029786205353690065;94,91234364748172;31,692522496326227;63,21982115115549;2755,188808996757
33;0,0005567970731833877;0,0030434704059109806;94,91234364748172;32,38252511889283;62,52981852858889;2692,3153164805676
34;0,0005875498163636726;0,003106831439819294;94,9123436474817;33,056686519677285;61,85565712780442;2630,1238915769095
35;0,0006189287927384534;0,003168719688894741;94,91234364748175;33,715177489840045;61,197166157641696;2568,598778792195
36;0,0006509193531620975;0,003229150831824741;94,91234364748172;34,358164850615246;60,55417879686648;2507,7243914354694
37;0,0006835070034268672;0,003288140178155369;94,91234364748172;34,985811495573124;59,9265321519086;2447,4853076697027
38;0,0007166774005909803;0,0033457026721698466;94,91234364748172;35,598276431887165;59,314067215594555;2387,8662666048367
39;0,0007504163493449838;0,0034018528966745145;94,91234364748172;36,195714820616836;58,71662882686489;2328,852164431616
40;0,0007847097984155357;0,003456605076693213;94,91234364748172;36,77827801601579;58,13406563146593;2270,428050595201
41;0,0008195438370056729;0,0035099730830710453;94,91234364748172;37,34611360387592;57,566230043605806;2212,5791240076264
42;0,0008549046912706693;0,0035619704359883776;94,91234364748173;37,89936543891634;57,01297820856539;2155,2907292981004
43;0,0008907787208285861;0,003612610308386041;94,91234364748172;38,438173681227475;56,474169966254244;2098,548353100241
44;0,0009271524153046358;0,003661905529302542;94,91234364748172;38,96267483177905;55,949668815702665;2042,3376203752775
45;0,0009640123909084837;0,0037098685871241564;94,91234364748172;39,47300176700102;55,4393418804807;1986,6442907702892
46;0,0010013453870436166;0,003756511632748709;94,91234364748172;39,96928377244627;54,943059875035445;1931,4542550105896
47;0,0010391382629479171;0,0038018464826638848;94,91234364748172;40,451646575543734;54,460697071937986;1876,753531325284
48;0,0010773779943646002;0,0038458846219407896;94,9123436474817;40,92021237745;53,992131270031706;1822,5282619051532
49;0,0011160516702426728;0,0038886372071435596;94,91234364748173;41,375099884007476;53,53724376347426;1768,76470939194
50;0,0011551464894660503;0,003930115069155767;94,91234364748172;41,81642433581735;53,095919311664375;1715,4492533981327
51;0,0011946497576105592;0,003970328715924283;94,91234364748172;42,24429753743437;52,66804611004735;1662,5683870564062
52;0,0012345488837279296;0,004009288335121359;94,91234364748169;42,65882788569126;52,25351576179043;1610,1087135978084
53;0,00127483137715603;0,004047003796725561;94,91234364748169;43,06012039715997;51,85222325032173;1558,0569429578254
54;0,0013154848443545017;0,0040834846555221965;94,91234364748173;43,44827673475617;51,46406691272556;1506,3998884095154
55;0,001356496985764983;0,004118740153523941;94,91234364748172;43,82339523349473;51,08894841398699;1455,1244632227874
56;0,0013978555926951741;0,004152779222312173;94,91234364748172;44,185570925401514;50,726772722080206;1404,2176773490282
57;0,001439548544225888;0,004185610485299696;94,91234364748169;44,53489556358876;50,37744808389293;1353,6666341302262
58;0,0014815638041403576;0,004217242259915394;94,91234364748169;44,871457645499795;50,0408860019819;1303,4585270317416
59;0,0015238894178750007;0,0042476825597113355;94,91234364748172;45,19534243532861;49,717001212153114;1253,5806363979195
60;0,0015665135094908578;0,004276939096392943;94,9123436474817;45,506631985620906;49,4057116618608;1204,020326229709
