z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
0;2,7755575615628914e-17;0,0;4999,999999999999;0,0;4999,999999999999;1038230,1440763464
1;7,581725411653917e-07;0,00041665987816225103;5000,000000000002;6,515045367627927;4993,484954632374;1033233,4042182732
2;3,0278187402310586e-06;0,0008313109476095759;5000,0;12,998680271713372;4987,001319728287;1028243,1636969292
3;6,801638584352787e-06;0,0012439558166172926;5000,0;19,45094549619767;4980,549054503802;1023259,391122259
4;1,2072341522451069e-05;0,001654597080840814;5000,0;25,871881627692733;4974,128118372308;1018282,0551448928
5;1,883264641922011e-05;0,0020632373233323564;5000,0;32,26152905574231;4967,738470944258;1013311,1244559487
6;2,707528150933114e-05;0,0024698791145571497;5000,0;38,61992797307544;4961,380072026925;1008346,5677868362
7;3,679298435182998e-05;0,00287452501240959;5000,0;44,947118375859056;4955,052881624141;1003388,3539090591
8;4,797850178425711e-05;0,0032771775622294497;5000,000000000001;51,24314006395141;4948,756859936049;998436,4516340184
9;6,062458987735053e-05;0,0036778392968173645;5000,0;57,508032641144254;4942,491967358856;993490,8298128188
10;7,47240138889993e-05;0,004076512736451654;5000,0;63,741835515425876;4936,258164484574;988551,4573360689
11;9,026954821908517e-05;0,0044732003889033645;5000,0;69,94458789921626;4930,0554121007835;983618,3031336884
12;0,00010725397636404677;0,004867904749452645;5000,000000000002;76,11632880962318;4923,883671190379;978691,3361747117
13;0,0001256700908712216;0,005260628300903847;5000,0;82,25709706867835;4917,742902931322;973770,5254670925
14;0,0001455106932938266;0,005651373513601621;5000,000000000001;88,366931303589;4911,633068696412;968855,8400575095
15;0,00016676859414538336;0,006040142845446239;5000,0;94,44586994697758;4905,554130053022;963947,2490311713
16;0,0001894366128546987;0,006426938741909305;5000,000000000001;100,49395123712733;4899,506048762873;959044,7215116213
17;0,00021350757772059525;0,00681176363604874;5000,000000000001;106,51121321821668;4893,488786781784;954148,2266605446
18;0,00023897432586686418;0,007194619948524217;4999,999999999999;112,4976937405605;4887,502306259438;949257,7336775737
19;0,0002658297031971346;0,007575510087612758;4999,999999999999;118,45343046085407;4881,546569539145;944373,2118000939
20;0,0002940665643500484;0,007954436449223334;5000,0;124,37846084240125;4875,621539157599;939494,6303030513
21;0,00032367777265393527;0,00833140141691241;5000,0;130,27282215535772;4869,727177844642;934621,9584987581
22;0,00035465620008234833;0,008706407361898427;5000,000000000002;136,13655147695727;4863,863448523044;929755,1657367002
23;0,0003869947272091001;0,009079456643077133;5000,000000000001;141,96968569175155;4858,030314308249;924894,2214033453
24;0,0004206862431631875;0,00945055160703634;4999,999999999999;147,77226149184096;4852,227738508158;920039,0949219478
25;0,00045572364558449374;0,009819694588070749;4999,999999999999;153,54431537710627;4846,4556846228925;915189,7557523595
26;0,0004920998405787969;0,010186887908196385;4999,999999999998;159,28588365543442;4840,714116344564;910346,173390835
27;0,0005298077426734715;0,010552133877165304;5000,0;164,99700244294843;4835,0029975570515;905508,317369842
28;0,0005688402747724697;0,010915434792480083;5000,000000000001;170,67770766423408;4829,322292335767;900676,1572578677
29;0,0006091903681121336;0,011276792939408642;5000,0;176,32803505257152;4823,671964947429;895849,6626592284
30;0,0006508509622167591;0,011636210590998064;5000,000000000001;181,9480201501516;4818,051979849849;891028,8032138783
31;0,0006938150048538261;0,011993690008089364;4999,999999999999;187,53769830830646;4812,462301691693;886213,5485972177
32;0,0007380754519901722;0,012349233439331309;5000,0;193,09710468772596;4806,902895312274;881403,868519904
33;0,0007836252677471955;0,012702843121194907;5000,0;198,62627425868402;4801,373725741316;876599,7327276592
34;0,0008304574243568341;0,013054521277987174;4999,999999999999;204,12524180125405;4795,874758198745;871801,1110010805
35;0,0008785649021173791;0,013404270121865403;4999,999999999999;209,5940419055318;4790,405958094468;867007,9731554509
36;0,0009279406893492326;0,013752091852850812;5000,000000000001;215,0327089718491;4784,9672910281515;862220,2890405478
37;0,0009785777823507202;0,01409798865884282;5000,000000000001;220,44127721099684;4779,558722789004;857438,0285404543
38;0,0010304691853543768;0,014441962715631973;4999,999999999999;225,81978064442725;4774,180219355572;852661,1615733701
39;0,0010836079104824814;0,014784016186914828;4999,999999999999;231,16825310448644;4768,831746895513;847889,6580914209
40;0,0011379869777034535;0,015124151224306548;5000,0;236,48672823461155;4763,513271765389;843123,4880804712
41;0,0011935994147878048;0,015462369967354561;4999,999999999999;241,77523948954408;4758,224760510455;838362,6215599338
42;0,0012504382572643136;0,01579867454355277;5000,000000000001;247,03382013555245;4752,966179864448;833607,0285825826
43;0,0013084965483760591;0,016133067068354046;5000,000000000001;252,26250325062693;4747,737496749374;828856,6792343633
44;0,0013677673390370682;0,016465549645183986;5000,0;257,4613217246951;4742,538678275305;824111,5436342056
45;0,0014282436877881277;0,01679612436545408;5000,000000000001;262,6303082598275;4737,369691740173;819371,5919338353
46;0,0014899186607534032;0,017124793308575026;5000,000000000001;267,7694953704459;4732,230504629555;814636,7943175858
47;0,001552785331596751;0,01745155854196928;5000,0;272,8789153835197;4727,12108461648;809907,1210022122
48;0,0016168367814781703;0,017776422121084656;5000,000000000001;277,9586004387783;4722,0413995612225;805182,5422367023
49;0,0016820660990102265;0,018099386089406977;5000,0;283,00858248890916;4716,991417511091;800463,02830209
50;0,0017484663802146971;0,018420452478472904;5000,000000000001;288,0288932997582;4711,971106700243;795748,5495112692
51;0,0018160307284788013;0,018739623307882924;4999,999999999999;293,01956445053304;4706,980435549466;791039,076208805
52;0,001884752254512484;0,01905690058531362;5000,0;297,9806273339948;4702,019372666005;786334,5787707499
53;0,0019546240763043676;0,019372286306530984;5000,0;302,91211315666635;4697,087886843334;781635,0276044548
54;0,0020256393190788424;0,019685782455402145;5000,000000000001;307,8140529390154;4692,185947060985;776940,3931483851
55;0,002097791115252823;0,01999739100390857;5000,0;312,68647751566135;4687,313522484339;772250,6458719332
56;0,0021710726043922546;0,02030711391215806;5000,0;317,5294175355624;4682,470582464438;767565,756275233
